"athlete_id","local_date","local_date_dow","gmt_offset","gc_well_avg_daytime_stress","gc_well_avg_daytime_stress_3d_ema","gc_well_morning_stress","gc_well_midday_stress","gc_well_evn_stress","gc_well_10pm_stress","gc_well_evn_stress_3d_ema","gc_well_avg_daytime_hr","gc_well_avg_daytime_hr_3d_ema","gc_well_morning_hr","gc_well_midday_hr","gc_well_evn_hr","gc_well_evn_hr_3d_ema","gc_well_min_daytime_hr","gc_well_sleep_hr","wellness_resting_heart_rate","wellness_total_steps","wellness_moderate_intensity_minutes","wellness_vigorous_intensity_minutes","act_daily_activities","act_last_alt","act_last_alt_ema","act_last_long","act_last_lat","act_daily_suffer_score","act_evn_suffer_score","act_daily_elapsed_time","act_evn_elapsed_time","act_type_ride","act_type_run","act_type_swim","act_type_ski","act_pmc_atl","act_pmc_ctl","act_pmc_3d_ema","act_pmc_tsb","nutr_daily_calories","nutr_daily_carbohydrates","nutr_daily_protein","nutr_daily_fat","nutr_daily_fiber","nutr_daily_sugar","nutr_daily_fiber_3d_ema","nutr_daily_caffeine_3d_ema","nutr_daily_alcohol_3d_ema","nutr_daily_pretein_3d_ema","nutr_morning_calories","nutr_midday_calories","nutr_evn_calories","nutr_morning_carbohydrates","nutr_midday_carbohydrates","nutr_evn_carbohydrates","nutr_morning_protein","nutr_midday_protein","nutr_evn_protein","nutr_morning_fat","nutr_midday_fat","nutr_evn_fat","nutr_morning_fiber","nutr_midday_fiber","nutr_evn_fiber","nutr_morning_sugar","nutr_midday_sugar","nutr_evn_sugar","nutr_daily_caffeine","nutr_evn_caffeine","nutr_daily_alcohol","nutr_evn_alcohol","weather_min_temperature","weather_max_temperature","weather_avg_temperature","weather_avg_dew_point","weather_avg_humidity","weather_avg_precipitation","weather_avg_wind_direction","weather_avg_wind_speed","weather_avg_air_pressure","weather_stddev_air_pressure","body_water","weight_gm","body_mass_index","oura_sleep_rmssd_yest","oura_sleep_rmssd_3d_ema","oura_sleep_rmssd_7d_ema","oura_sleep_rmssd_42d_ema","oura_sleep_duration_yest","oura_sleep_awake_yest","oura_sleep_light_yest","oura_sleep_rem_yest","oura_sleep_deep_yest","oura_sleep_breath_average_yest","oura_sleep_temperature_deviation_yest","oura_sleep_rmssd","oura_sleep_morning_rmssd","oura_sleep_rmssd_class","oura_sleep_rmssd_baseline","oura_sleep_rmssd_dev","oura_sleep_dev_sign"
1,"2023-02-02",4,11,31.1,30.84,34.2,27.3,32.8,29.6,30.63,68,67.27,77,60,67,62.19,46,50.7,45,20359,4,82,1,1640.4,489.45,146.45481565967202,-37.14566160924733,37,0,4628,0,"0","Run","0","0",52.75,61.7,42.55,8.95,2295,226,74,112,47,126,43.37,2.97,0.78,104.88,757,489,1049,101,57,68,20,27,27,31,15,66,8,31,8,68,33,25,3,1,1,1,0.7,10.1,6.0,1.8,76.6,0.379,284.6,17.5,997.0,3.82,69.5,68470,22.1,1,32.09,48.01,54.47,1,1,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL
1,"2023-02-01",3,11,31.9,30.74,28.5,34.4,32.0,48.2,29.54,67,66.99,78,62,62,60.03,37,45.1,40,20049,22,71,2,1632.6,297.72,146.45474642515182,-37.145728999748826,36,4,5985,1913,"0","Run","0","0",55.38,62.3,45.33,6.92,3156,335,103,144,39,107,41.56,2.96,0.68,120.32,998,636,1522,101,99,135,42,28,33,47,11,86,13,11,15,38,13,56,2,1,1,1,6.0,18.8,13.4,10.2,82.0,0.0,214.4,12.5,1004.9,1.39,69.5,68470,22.1,82,48.13,56.01,55.8,29700,2580,17370,3870,5880,15.25,-0.09,NULL,NULL,NULL,NULL,NULL,NULL
1,"2023-01-31",2,11,29.9,30.14,29.8,31.3,28.7,31.6,28.34,64,66.87,78,57,57,58.85,39,41.5,39,15162,1,69,1,26.4,75.34,145.11242411099374,-38.04832695052028,37,0,4103,0,"0","Run","0","0",58.6,62.94,49.99,4.34,3042,284,138,135,58,80,42.84,3.44,0.52,128.98,1141,840,1061,129,28,127,65,36,37,37,66,32,12,26,20,47,9,24,4,0,1,1,16.0,23.1,19.8,12.4,63.2,0.0,193.3,21.0,1007.9,1.45,69.5,68470,22.1,82,72.2,65.34,57.16,26820,2160,15390,2370,6900,14.25,-0.08,82,86,"80",54.29879608108804,51.01623961891142,1
1,"2023-01-30",1,11,22.7,30.25,23.0,24.5,20.9,26.2,28.17,64,68.22,76,59,55,59.57,43,46.2,42,8047,12,22,1,33,83.49,145.11242276988924,-38.04828814230859,34,0,3450,0,"0","0","Swim","0",62.2,63.57,56.49,1.37,3239,349,113,143,44,116,35.26,3.17,0.27,124.47,575,1391,1273,79,164,106,31,53,29,16,59,68,29,10,5,50,43,23,3,1,0,0,19.0,20.9,20.2,17.9,86.7,0.05,163.7,12.6,1013.2,0.26,69.9,67720,21.9,65,67.3,62.57,56.55,21480,1740,13410,1440,4890,15.5,-0.03,82,85,"80",54.293083492199344,51.03212918783936,1
1,"2023-01-29",0,11,31.3,34.03,24.9,38.9,29.2,24.5,31.8,70,70.53,72,75,61,61.65,43,45.8,41,5920,35,63,1,23,91.9,145.11242276988924,-38.04828814230859,42,0,6749,0,"Ride","0","0","0",66.9,64.29,67.73,-2.61,3059,241,143,158,33,84,30.89,3.25,0.41,130.21,388,1372,1299,52,92,97,24,74,45,10,78,70,3,26,4,35,22,27,4,0,0,0,19.0,20.9,20.2,17.9,86.7,0.05,163.7,12.6,1013.2,0.26,69.7,68140,22,77,59.95,59.33,55.93,29100,3150,13650,4050,8250,14.875,0.17,65,64,"70",54.28737090331066,19.733188250669258,1
1,"2023-01-28",6,11,43.4,35.39,50.5,47.3,36.3,31.8,33.12,77,71.01,99,70,63,61.84,45,48.7,44,5455,69,102,1,23.2,103.38,145.1124153099954,-38.0482516810298,94,0,8779,0,"Ride","0","0","0",71.05,64.84,80.6,-6.21,3042,218,133,171,33,72,29.83,2.87,0.61,123.81,235,1115,1692,10,121,87,20,49,64,13,49,109,1,28,4,8,21,43,3,0,0,0,19.7,31.9,25.9,10.8,39.0,0.0,235.7,27.2,1007.4,0.22,70,67680,21.9,1,57.42,58.38,55.71,1,1,1,1,1,1,1,77,75,"80",54.281658314421975,41.852703824897766,1
1,"2023-01-27",5,11,28.9,31.4,28.5,24.9,32.5,39.1,31.54,68,67.91,79,63,61,61.29,38,47.4,41,18930,1,76,1,23.8,116.74,145.11240349151194,-38.048311695456505,75,0,3814,0,"0","Run","0","0",67.23,64.12,73.9,-3.11,2815,246,116,147,31,76,28.25,2.81,0.92,119.21,302,1290,1223,43,69,134,20,58,38,6,88,53,2,25,4,27,12,37,3,0,1,1,11.5,20.5,14.2,10.3,78.3,0.0,114.0,13.2,1016.6,0.56,70,67680,21.9,79,47.64,55.28,55.19,26160,3090,11700,3930,7440,15.125,-0.02,NULL,NULL,NULL,NULL,NULL,NULL
1,"2023-01-26",4,11,28.6,32.66,23.8,35.0,28.2,33.3,31.07,68,67.87,61,83,59,61.23,40,46.0,41,5064,10,68,1,27.6,132.22,145.11242838576436,-38.048263331875205,65,0,5166,0,"Ride","0","0","0",65.93,63.86,73.34,-2.07,3349,224,129,195,17,116,26.87,2.71,0.88,120.82,338,1420,1591,49,79,96,8,58,63,13,95,87,3,7,7,32,32,52,4,1,1,1,15.6,22.1,18.7,12.7,68.8,0.004,215.5,22.5,1015.3,1.5,70,67680,21.9,75,71.45,64.49,56.54,32460,4170,16590,3690,8010,15.125,0.06,79,82,"80",54.27023313664459,45.56782868628818,1
1,"2023-01-25",3,11,42.5,34.69,35.7,58.5,35.5,37.3,32.51,71,67.92,73,79,60,62.26,41,45.0,42,22566,1,58,1,12.6,149.65,145.11299843899906,-38.04807675071061,129,0,3456,0,"0","Run","0","0",66.09,63.83,77.52,-2.26,2860,196,143,149,35,95,31.81,2.07,0.82,116.73,190,1194,1476,15,105,76,11,55,77,7,61,81,0,13,22,16,43,36,2,1,1,1,17.6,29.0,21.7,17.4,78.3,0.0,231.7,17.9,1010.8,1.41,70,67680,21.9,74,67.68,62.08,55.99,27480,2940,15030,3480,6030,15.25,-0.02,75,75,"80",54.26452054775589,38.21185415983855,1
1,"2023-01-24",2,11,24.3,30.8,30.8,27.2,17.4,NULL,31.02,65,66.47,78,59,52,63.54,45,47.3,43,12910,55,6,1,2.3,172.48,145.1107270270586,-38.04891695268452,15,0,3681,0,"0","0","Swim","0",55.61,62.24,51.78,6.63,2907,249,118,136,35,89,30.21,2.1,0.74,103.6,364,1110,1433,47,66,136,15,48,55,11,72,53,3,23,9,35,5,49,2,1,1,1,14.7,26.5,19.9,16.8,83.1,0.213,162.7,12.3,1010.7,0.64,70,67680,21.9,68,64.02,59.92,55.52,25200,3870,13020,2430,5880,14.75,-0.04,74,75,"70",54.25880795886721,36.383386926042114,1
1,"2023-01-23",1,11,38.5,34.07,37.9,45.3,33.4,35.7,37.82,70,67.23,68,82,61,69.23,41,47.8,41,13755,5,74,1,28.8,200.83,145.11319407261908,-38.049696050584316,54,0,4834,0,"Ride","0","0","0",62.37,63.39,70.17,1.02,2527,228,120,104,34,76,27.81,2.16,0.6,96.4,174,1329,1024,32,106,90,4,81,35,4,61,39,3,30,1,19,28,29,2,1,1,1,17.4,26.5,21.2,16.6,76.7,0.0,226.7,14.3,1013.9,1.79,69.6,68260,22,70,59.04,57.58,55.07,26760,4320,14370,3810,4260,15.125,-0.05,68,66,"70",54.253095369978524,25.338470618633973,1
1,"2023-01-22",0,11,28.7,31.87,25.0,19.8,49.4,70.3,40.04,65,65.67,59,54,83,73.48,41,51.1,46,18117,0,61,1,22.8,229.49,145.11242721229792,-38.048365423455834,91,91,3638,3638,"0","Run","0","0",63.77,63.62,78.25,-0.15,501,45,24,24,0,15,24.72,2.24,0.41,84.61,501,0,0,45,0,0,24,0,0,24,0,0,0,0,0,15,0,0,2,0,0,0,15.7,24.8,19.7,15.5,78.3,0.0,164.8,20.9,1016.0,0.96,70,67600,21.8,47,54.55,55.84,54.76,24360,3660,12150,3930,4620,15.25,-0.05,70,68,"70",54.247382781089826,29.038483354078792,1
1,"2023-01-21",6,11,29.3,33.43,25.6,21.1,45.0,36.2,35.34,68,65.87,61,57,87,68.5,39,49.6,44,19926,2,60,1,22.4,263.92,145.11250943876803,-38.04821915924549,100,100,3521,3521,"0","Run","0","0",59.23,62.96,71.87,3.73,2781,335,132,96,56,162,37.08,2.35,0.61,114.91,1343,874,564,190,84,61,41,73,18,45,26,25,9,47,0,103,32,27,2,0,0,0,18.1,23.9,21.2,14.9,67.9,0.0,189.5,25.4,1014.1,1.18,70.1,67450,21.8,51,46.83,53.48,54.39,30240,2010,17550,5850,4830,15.5,0.03,47,47,"50",54.24167019220114,-13.350750754062043,-1.0
1,"2023-01-20",5,11,40.7,35.51,27.1,63.5,33.0,26.4,30.5,69,64.58,62,82,62,59.28,45,49.2,44,14069,6,16,1,33,304.16,145.11076239868999,-38.04883036762476,82,0,4689,0,"VirtualRide","0","0","0",52.44,62.05,57.81,9.61,1879,123,93,98,6,49,27.62,2.53,0.91,106.36,243,967,669,37,48,38,7,44,42,8,67,23,3,3,0,24,6,19,2,0,1,1,27.8,29.2,28.5,23.8,75.7,0.044,328.6,22.7,1007.0,0.91,69.9,67800,21.9,1,46.75,54.56,54.57,1,1,1,1,1,1,1,51,54,"50",54.23595760331246,-5.966443198035875,-1.0
1,"2023-01-19",4,11,42.3,32.9,22.7,70.6,34.8,32.3,29.22,63,62.57,57,76,59,58.01,39,45.0,41,7540,0,3,1,33,349.33,145.11076239868999,-38.04883036762476,94,0,4577,0,"VirtualRide","0","0","0",47.52,61.57,45.71,14.05,2845,301,104,122,43,94,38.43,2.8,0.87,113.05,390,1389,1066,48,152,101,9,56,39,18,62,42,3,37,3,24,55,15,3,1,1,1,28.3,29.1,28.9,23.6,72.9,0.077,323.2,28.4,1006.4,1.34,69.7,68020,22,62,44.63,55.16,54.65,26940,2010,15420,2910,6600,15,0.1,NULL,NULL,NULL,NULL,NULL,NULL
1,"2023-01-18",3,11,24.3,28.21,27.6,24.0,21.6,24.6,26.45,56,62.55,57,55,55,57.55,42,46.3,41,5432,0,0,0,2.5,402.03,145.11076239868999,-38.04883036762476,0,0,0,0,"0","0","0","0",39.77,60.78,21.58,21.01,2252,200,112,98,36,60,36.15,2.69,0.8,117.57,260,1038,954,41,45,114,8,59,45,8,68,22,4,24,8,27,9,24,3,1,1,1,19.4,32.8,23.7,18.9,76.5,0.0,109.4,16.9,1015.4,0.79,69.5,68440,22.1,70,66.94,64.34,55.99,25320,2520,14130,2730,5940,14.875,0.22,62,65,"60",54.224532425535074,14.33939072714503,1
1,"2023-01-17",2,11,34.1,30.15,39.3,36.1,29.2,28.6,28.9,65,65.79,76,61,56,58.88,45,42.2,38,7964,43,15,1,2.5,402.03,145.11076239868999,-38.04883036762476,20,0,3482,0,"0","0","Swim","0",46.4,62.26,32.36,15.86,2669,245,119,119,46,68,36.22,2.54,0.7,120.35,832,678,1159,100,48,97,28,36,55,35,37,47,13,27,6,42,25,1,2,1,1,1,19.4,32.8,23.7,18.9,76.5,0.0,109.4,16.9,1015.4,0.79,69.5,68440,22.1,82,69.4,64.73,55.84,26040,2730,13980,1530,7800,14.25,0.08,70,69,"70",54.21881983664639,29.106461946055017,1
1,"2023-01-16",1,11,23.6,28.17,20.5,24.8,24.5,25.3,28.74,62,66.4,72,58,56,60.35,43,45.7,42,7828,44,12,1,33,468.58,145.11244942434132,-38.048328794538975,17,0,3421,0,"0","0","Swim","0",50.8,63.29,38.54,12.49,2950,290,139,121,36,94,31.33,2.81,0.56,121.03,415,1624,911,39,149,102,28,79,32,15,74,32,24,10,2,24,59,11,3,1,0,0,14.4,31.0,21.6,15.9,70.9,0.0,142.2,17.6,1018.2,1.76,69.5,68440,22.1,71,69.1,63.86,55.5,24300,3000,13740,1470,6090,15,-0.12,82,84,"80",54.21310724775769,51.25493476190963,1
1,"2023-01-15",0,11,27.8,30.43,13.8,39.7,31.5,28.8,30.87,67,68.69,53,86,62,62.69,38,46.9,40,5571,31,39,1,23,541.15,145.11244942434132,-38.048328794538975,33,0,6959,0,"Ride","0","0","0",56.43,64.42,49.31,7.99,2739,271,137,121,38,102,29.0,2.72,0.83,112.04,492,1294,953,81,96,94,12,74,51,15,71,35,5,26,7,53,20,29,3,1,1,1,15.5,21.0,18.9,10.8,59.5,0.0,177.8,27.2,1020.2,0.97,69.1,69050,22.3,76,62.66,60.83,54.85,31980,2340,20730,2340,6570,15.375,0.25,71,72,"70",54.207394658869006,30.97844020508282,1
1,"2023-01-14",6,11,26.8,31.72,28.2,31.5,21.7,19.9,30.57,70,69.52,84,66,59,63.28,45,53.1,47,6859,25,32,1,1578.6,627.47,146.45889840088785,-37.14820962399244,70,0,5489,0,"Ride","0","0","0",60.33,65.18,57.46,4.85,3185,389,126,119,21,79,24.5,2.58,0.75,99.57,310,1149,1726,49,138,202,14,34,78,7,42,70,3,5,13,33,33,13,1,1,1,1,12.2,19.5,15.3,8.9,66.5,0.0,53.5,16.7,1015.0,0.6,69.7,68080,22,40,58.48,59.14,54.46,28500,1320,13800,7200,6180,16.125,-0.01,76,77,"80",54.20168206998032,40.21705064775602,1
1,"2023-01-13",5,11,40.4,34.2,32.8,41.7,44.8,43.8,35.02,72,69.52,78,67,70,65.6,46,48.8,44,20421,3,76,1,1635,469.02,146.45478405989707,-37.14565725065768,47,0,4548,0,"0","Run","0","0",58.72,65.07,51.19,6.35,1989,212,88,70,35,120,26.25,3.37,0.63,86.35,560,637,792,61,95,56,22,13,53,26,13,31,11,20,4,45,40,35,3,1,1,0,10.8,24.1,17.5,7.9,56.5,0.0,138.5,9.9,1014.7,1.0,69.4,68500,22.1,47,49.73,56.33,53.93,23640,1560,12300,3870,5910,15.375,0.01,40,43,"40",54.19596948109162,-26.193773479860788,-1.0
1,"2023-01-12",4,11,27.0,31.07,20.1,29.9,29.2,22.0,30.13,65,68.51,72,62,61,63.33,41,50.8,46,18106,2,74,1,1637.2,274.78,146.4548372849822,-37.1456562448293,52,0,4512,0,"0","Run","0","0",60.67,65.51,53.29,4.84,2718,268,51,142,21,122,21.87,3.55,0.44,85.53,560,347,1811,61,31,176,22,2,27,26,0,116,11,3,7,45,14,63,4,1,0,0,12.3,23.2,18.7,5.7,45.9,0.0,174.8,9.7,1013.3,0.98,69.4,68500,22.1,37,54.59,59.05,54.27,26280,3060,11100,4980,7140,15.75,-0.01,47,47,"50",54.19025689220294,-13.268541809104239,-1.0
1,"2023-01-11",3,11,32.5,33.13,32.1,36.1,29.4,34.9,30.58,71,70.21,81,67,66,64.26,44,47.9,42,24547,3,58,1,23,47.81,145.11244389228523,-38.04838377982378,55,0,3468,0,"0","Run","0","0",62.11,65.84,53.94,3.73,2316,230,75,115,23,98,22.31,3.33,0.66,102.79,283,511,1522,42,21,167,18,28,29,5,33,77,3,7,13,25,3,70,4,1,1,1,15.3,23.1,17.7,14.7,83.0,0.0,88.3,23.6,1011.6,0.53,69.4,68500,22.1,67,58.39,61.06,54.45,24780,4350,9750,3690,6990,15,-0.12,37,40,"40",54.184544303314254,-31.71484511730616,-1.0
1,"2023-01-10",2,11,34.0,33.47,41.6,32.7,31.2,34.8,31.19,69,69.62,83,63,61,63.53,45,45.7,41,21551,3,63,1,25.6,51.95,145.11237834580243,-38.048299457877874,40,0,3697,0,"0","Run","0","0",63.3,66.1,53.41,2.8,3119,327,130,141,33,101,21.96,2.99,0.49,116.68,996,693,1430,107,41,179,50,28,52,43,45,53,8,3,22,44,14,43,3,0,1,1,14.5,23.9,19.4,14.6,74.3,0.0,187.4,15.9,1014.2,1.62,69.4,68500,22.1,71,69.08,65.07,54.87,27420,1860,17250,2940,5370,14.875,0,67,67,"70",54.178831714425556,23.664534431370367,1
1,"2023-01-09",1,11,27.0,33.2,25.5,26.5,28.7,22.4,31.19,66,69.98,73,63,63,64.87,47,47.0,43,11199,44,18,1,33,56.33,145.1107820123434,-38.04885392077267,13,0,3381,0,"0","0","Swim","0",67.18,66.74,60.11,-0.44,3211,295,142,165,18,131,16.45,2.99,0.24,110.03,415,2055,741,68,199,28,8,87,47,13,104,48,5,13,0,50,68,13,2,1,0,0,16.3,25.7,20.9,15.7,72.3,0.0,175.1,13.8,1012.4,2.02,69.7,68100,22,69,70.12,64.75,54.58,21360,2370,11670,1950,5370,15.125,0.03,71,79,"70",54.17311912553687,31.061310749838366,1
